⺮	ju<
轉筆刀	juan bih dau
轉筋	juan cin
轉紐	juan niu
轉給	juan ceih
轉置	juan j
轉義	juan gi
轉義字符	juan gi z fu
轉義序列	juan gi sy lie
轉而	juan er
轉職	juan jh
轉背	juan bei
轉腰子	juan iau z
轉臉	juan liam
轉船	juan txuan
轉蛋	juan dan
轉行	juan hag
轉製	juan j
轉角	juan ciauh
轉診	juan jn
轉調	juan diau
轉譯	juan ih
轉變	juan bian
轉變立場	juan bian lih txag
轉變過程	juan bian cue txg
轉讓	juan rag
轉賣	juan mai
轉賬	juan jag
轉賬卡	juan jag ka
轉贈	juan zg
轉身	juan xn
轉車	juan txe
轉車台	juan txe tai
轉軌	juan cui
轉軸	juan jeuh
轉軸兒	juan jeuh r
轉載	juan zai
轉輪	juan lun
轉輪手槍	juan lun xeu tsiag
轉輪王	juan lun uag
轉輪聖帝	juan lun xg di
轉輪聖王	juan lun xg uag
轉轉	juan juan
轉述	juan xuh
轉送	juan sug
轉速	juan suh
轉速錶	juan suh biau
轉遊	juan iu
轉運	juan yn
轉運棧	juan yn jan
轉運站	juan yn jam
轉道	juan dau
轉達	juan dah
轉遞	juan di
轉醒	juan sig
轉鈴	juan lig
轉鈴兒	juan lig r
轉錄	juan lu
轉鐘	juan jug
轉門	juan mn
轉關係	juan cuan hi
轉院	juan yan
轉面無情	juan mian u tsig
轉韻	juan yn
轉頭	juan teu
轉體	juan ti
轉鼓	juan cu
轍	duh<
轍	jeh<
轎	ciau>
轎夫	ciau fu
轎子	ciau z
轎車	ciau txe
轏	cue/
轏	jan>
轐	buh<
轐	luh>
轑	ian/
轑	lau\
轒	fn<
轓	fan/
轔	lin<
轕	ce<
轖	niauh\
轖	seh>
轗	bim/
轗	kam\
轗軻	kam ke
轘	huan<
轘	huan>
轘裂	huan lieh
轙	gi\
轚	ci<
轛	jui>
轜	er<
轝	y<
轝	y>
轞	ciam>
轞	hiam>
轟	hug/
轟	tui<
轟動	hug dug
轟動一時	hug dug ih x
轟動效應	hug dug hiau ig
轟擊	hug cih
轟炸	hug ja
轟炸機	hug ja ci
轟然	hug ran
轟走	hug zeu
轟趕	hug can
轟趴	hug pa
轟趴館	hug pa cuan
轟轟	hug hug
轟轟烈烈	hug hug lieh lieh
轟隆	hug lug
轟響	hug hiag
轟鳴	hug mig
轠	lei<
轡	pei>
轡頭	pei teu
轢	lih>
轤	lu<
辛	sin/
辛	tx\
辛丑	sin txeu
辛丑條約	sin txeu tiau ye
辛亥	sin hai
辛亥革命	sin hai ceh mig
辛伐他汀	sin fah ta tig
辛勞	sin lau
辛勤	sin kin
辛勤耕耘	sin kin cg yn
辛卯	sin mau
辛奇	sin ki
辛巳	sin s
辛巴威	sin ba ui
辛布	sin bu
辛普森	sin pu sm
辛普森一家	sin pu sm ih cia
辛未	sin ui
辛格	sin ceh
辛烷值	sin uan j
辛苦	sin ku
辛貝特	sin bei teh
辛辛苦苦	sin sin ku ku
辛辛那提	sin sin na ti
辛辣	sin la
辛迪加	sin dih cia
辛酉	sin iu
辛酸	sin suan
辛集	sin zih
辛集市	sin zih x
辜	cu/
辜振甫	cu jn fu
辜負	cu fu
辜鴻銘	cu hug mig
辟	bih>
辟	pih>
辟穀	bih cuh
辟邪	bih hie
辟雍	bih yg
辟雍硯	pih yg gian
辠	zui>
辢	lah>
辣	la>
辣哈布	la hah bu
辣妹	la mei
辣妹子	la mei z
辣媽	la ma
辣子	la z
辣彼	la bi
辣根	la cn
辣條	la tiau
辣椒	la ziau
辣椒仔	la ziau zai
辣椒醬	la ziau ziag
辣汁	la jh
辣眼睛	la gian zig
辣胡椒	la hu ziau
辣豆醬	la deu ziag
辣醬油	la ziag iu
辣雞	la ci
辤	ts<
辦	ban>
辦不到	ban bu dau
辦事	ban x
辦事處	ban x txu
辦公	ban cug
辦公地址	ban cug di j
辦公大樓	ban cug da leu
辦公室	ban cug xh
辦公廳	ban cug tig
辦公時間	ban cug x cian
辦公桌輪用	ban cug jueh lun yg
辦公樓	ban cug leu
辦公自動化	ban cug z dug hua
辦到	ban dau
辦報	ban bau
辦好	ban hau
辦妥	ban tue
辦學	ban hyeh
辦年貨	ban nian hue
辦案	ban an
辦桌	ban jueh
辦法	ban fah
辦理	ban li
辦罪	ban zui
辦貨	ban hue
辦酒席	ban ziu sih
辨	bian>
辨別	bian bie
辨別力	bian bie lih
辨士	bian x
辨明	bian mig
辨析	bian sih
辨認	bian rn
辨證	bian jg
辨證施治	bian jg x j
辨證論治	bian jg lun j
辨識	bian x
辨識度	bian x du
辭	ts<
辭世	ts x
辭令	ts lig
辭任	ts rm
辭典	ts dian
辭別	ts bie
辭去	ts ky
辭呈	ts txg
辭官	ts cuan
辭掉	ts diau
辭書	ts xu
辭書學	ts xu hyeh
辭格	ts ceh
辭海	ts hai
辭灶	ts zau
辭章	ts jag
辭職	ts jh
辭藻	ts zau
辭行	ts hig
辭謝	ts sie
辭退	ts tui
辮	bian>
辮子	bian z
辯	bian>
辯別	bian bie
辯士	bian x
辯才	bian tsai
辯才天	bian tsai tian
辯方	bian fag
辯明	bian mig
辯機	bian ci
辯爭	bian jg
辯白	bian baih
辯稱	bian txg
辯答	bian dah
辯解	bian cie
辯詞	bian ts
辯誣	bian u
辯說	bian xue
辯論	bian lun
辯證	bian jg
辯證唯物主義	bian jg ui uh ju gi
辯證法	bian jg fah
辯護	bian hu
辯護人	bian hu rn
辯護士	bian hu x
辯辭	bian ts
辯難	bian nan
辯駁	bian bueh
辰	kin<
辰	txn<
辰光	txn cuag
辰星	txn sig
辰時	txn x
辰溪	txn hi
辰溪縣	txn hi hian
辰砂	txn xa
辰龍	txn lug
辱	ruh\
辱罵	ruh ma
辱華	ruh hua
農	nug<
農事	nug x
農事活動	nug x hueh dug
農人	nug rn
農作	nug zue
農作物	nug zue uh
農具	nug cy
農區	nug ky
農友	nug iu
農園	nug yan
農地	nug di
農場	nug txag
農夫	nug fu
農夫山泉	nug fu xan tsyan
農奴	nug nu
農奴解放日	nug nu cie fag rh
農婦	nug fu
農學	nug hyeh
農安	nug an
農安縣	nug an hian
農家	nug cia
農家庭院	nug cia tig yan
農家樂	nug cia le
農工	nug cug
農德孟	nug deh mg
農忙	nug mag
農戶	nug hu
農房	nug fag
農旅	nug ly
農曆	nug lih
農曆新年	nug lih sin nian
農會	nug hui
農村	nug tsun
農村合作化	nug tsun heh zue hua
農村家庭聯產承包責任制	nug tsun cia tig lian txan txg bau zeh rm j
農林	nug lim
農林水產省	nug lim xui txan xg
農桑	nug sag
農業	nug gieh
農業區	nug gieh ky
農業合作化	nug gieh heh zue hua
農業廳	nug gieh tig
農業機械	nug gieh ci hie
農業現代化	nug gieh hian dai hua
農業生技	nug gieh xg ci
農業生產合作社	nug gieh xg txan heh zue xe
農業部	nug gieh bu
農業集體化	nug gieh zih ti hua
農機	nug ci
農民	nug min
農民工	nug min cug
農民起義	nug min ki gi
農民階級	nug min cie cih
農民黨	nug min dag
農活	nug hueh
農產	nug txan
農產品	nug txan pim
農田	nug tian
農耕	nug cg
農膜	nug mue
農舍	nug xe
農莊	nug juag
農藝	nug gi
農藥	nug iauh
農諺	nug gian
農貸	nug dai
農貿市場	nug mau x txag
農資	nug z
農運	nug yn
農運會	nug yn hui
辳	nug<
辴	cui/
辴	txan\
辵	txueh>
辶	txue>
辺	bian/
辻	x<
辿	txan/
迂	y/
迂儒	y ru
迂回奔襲	y hui bn sih
迂回曲折	y hui kyh je
迂執	y jh
迂夫子	y fu z
迂拘	y cy
迂拙	y jueh
迂曲	y kyh
迂氣	y ki
迂滯	y j
迂磨	y mue
迂緩	y huan
迂腐	y fu
迂見	y cian
迂訥	y neh
迂論	y lun
迂迴	y hui
迂遠	y yan
迂闊	y kueh
迄	kih>
迄今	kih cim
迄今為止	kih cim ui j
迅	syn>
迅即	syn zih
迅捷	syn zieh
迅猛	syn mg
迅疾	syn zih
迅速	syn suh
迅雷	syn lei
迆	i<
迆	i\
迉	ki/
迋	uag>
迍	jun/
迍邅	jun jan
迎	gig<
迎佛骨	gig fueh cuh
迎來	gig lai
迎來送往	gig lai sug uag
迎刃而解	gig rn er cie
迎合	gig heh
迎娶	gig tsy
迎客松	gig keh sug
迎戰	gig jan
迎接	gig zieh
迎接挑戰	gig zieh tiau jan
迎擊	gig cih
迎新	gig sin
迎春花	gig txun hua
迎江	gig ciag
迎江區	gig ciag ky
迎澤	gig zeh
迎澤區	gig zeh ky
迎火	gig hue
迎神賽會	gig xn sai hui
迎親	gig tsin
迎賓	gig bin
迎難而上	gig nan er xag
迎面	gig mian
迎面而來	gig mian er lai
迎頭	gig teu
迎頭兒	gig teu r
迎頭打擊	gig teu da cih
迎頭痛擊	gig teu tug cih
迎頭趕上	gig teu can xag
迎風	gig fg
迎風招展	gig fg jau jan
迎風飄舞	gig fg piau u
迏	da<
近	cin>
近乎	cin hu
近乎同步	cin hu tug bu
近人	cin rn
近代	cin dai
近代史	cin dai x
近似	cin s
近似解	cin s cie
近來	cin lai
近便	cin bian
近光燈	cin cuag dg
近前	cin tsian
近古	cin cu
近因	cin in
近在咫尺	cin zai j txh
近在眼前	cin zai gian tsian
近地天體	cin di tian ti
近地軌道	cin di cui dau
近地點	cin di diam
近場通信	cin txag tug sin
近場通訊	cin txag tug syn
近年	cin nian
近年來	cin nian lai
近幾年	cin ci nian
近打	cin da
近打河	cin da he
近拱點	cin cug diam
近日	cin rh
近日點	cin rh diam
近景	cin cig
近期	cin ki
近朱近墨	cin ju cin mueh
近東	cin dug
近水樓臺	cin xui leu tai
近水樓臺先得月	cin xui leu tai sian deh gyeh
近況	cin kuag
近海	cin hai
近照	cin jau
近現代史	cin hian dai x
近畿地方	cin ci di fag
近端	cin duan
近端胞漿	cin duan bau ziag
近義詞	cin gi ts
近臣	cin txn
近藤	cin tg
近處	cin txu
近衛文麿	cin ui un mue
近視	cin x
近親	cin tsin
近親交配	cin tsin ciau pei
近親繁殖	cin tsin fan jh
近距離	cin cy li
近距離無線通訊	cin cy li u sian tug syn
近路	cin lu
近道	cin dau
近郊	cin ciau
近郊區	cin ciau ky
近鄰	cin lin
近零	cin lig
近頃	cin kig
近體詩	cin ti x
迒	hag<
迓	gia>
返	fan\
返利	fan li
返券黃牛	fan kyan huag niu
返回	fan hui
返國	fan cueh
返家	fan cia
返崗	fan cag
返工	fan cug
返校	fan hiau
返港	fan cag
返潮	fan txau
返現	fan hian
返璞歸真	fan puh cui jn
返祖現象	fan zu hian siag
返程	fan txg
返老還童	fan lau huan tug
返聘	fan pin
返臺	fan tai
返航	fan hag
返還	fan huan
返還占有	fan huan jam iu
返鄉	fan hiag
返銷糧	fan siau liag
返青	fan kig
返點	fan diam
迕	gu\
迖	da<
迡	ni>
迢	dug/
迢	tiau<
迣	j>
迤	i<
迤	i\
迤邐	i li
迥	cyg\
迥然	cyg ran
迥然不同	cyg ran bu tug
迥異	cyg i
迦	cia/
迦南	cia nam
迦太基	cia tai ci
迦持	cia tx
迦納	cia nah
迦葉佛	cia ieh fueh
迨	dai>
迪	dih<
迪倫	dih lun
迪克	dih keh
迪化	dih hua
迪吉里杜管	dih cih li du cuan
迪吧	dih ba
迪士尼	dih x ni
迪士尼樂園	dih x ni le yan
迪奧	dih au
迪廳	dih tig
迪慶	dih kig
迪慶州	dih kig jeu
迪慶藏族自治州	dih kig zag zuh z j jeu
迪拜	dih bai
迪斯可	dih s ke
迪斯尼	dih s ni
迪斯尼樂園	dih s ni le yan
迪斯科	dih s ke
迪斯科吧	dih s ke ba
迪斯科廳	dih s ke tig
迪斯雷利	dih s lei li
迪莊	dih juag
迫	paih\
迫	pueh>
迫不及待	pueh bu cih dai
迫不得已	pueh bu deh i
迫令	pueh lig
迫使	pueh x
迫供	pueh cug
迫促	pueh tsuh
迫切	pueh tsie
迫切性	pueh tsie sig
迫在眉睫	pueh zai mei zieh
迫害	pueh hai
迫擊炮	paih cih pau
迫於	pueh y
迫脅	pueh hie
迫臨	pueh lim
迫視	pueh x
迫近	pueh cin
迫降	pueh ciag
迫降	pueh hiag
迭	dieh<
迭	uih<
迭代	dieh dai
迭起	dieh ki
迭部	dieh bu
迭部縣	dieh bu hian
迮	zeh<
迮徑	zeh cig
述	xuh>
述職	xuh jh
述語	xuh gy
述說	xuh xue
迴	hui<
迴力鏢	hui lih biau
迴圈	hui kyan
迴廊	hui lag
迴旋	hui syan
迴旋加速器	hui syan cia suh ki
迴旋處	hui syan txu
迴旋鏢	hui syan biau
迴旋餘地	hui syan y di
迴盪	hui dag
迴紋針	hui un jm
迴轉	hui juan
迴轉壽司	hui juan xeu s
迴避	hui bi
迴響	hui hiag
迵	dug>
迶	iu>
迷	mi<
迷上	mi xag
迷不知返	mi bu j fan
迷之	mi j
迷亂	mi luan
迷人	mi rn
迷住	mi ju
迷你	mi ni
迷你劇	mi ni cyh
迷你裙	mi ni kyn
迷信	mi sin
迷因	mi in
迷夢	mi mg
迷失	mi xh
迷姦	mi cian
迷宮	mi cug
迷幻	mi huan
迷幻劑	mi huan zi
迷幻藥	mi huan iauh
迷幻蘑菇	mi huan mue cu
迷彩	mi tsai
迷彩服	mi tsai fuh
迷思	mi s
迷惑	mi hueh
迷惑不解	mi hueh bu cie
迷惑龍	mi hueh lug
迷惘	mi uag
迷戀	mi lian
迷暈	mi yn
迷津	mi zin
迷漫	mi man
迷濛	mi mg
迷瞪	mi dg
迷笛	mi dih
迷糊	mi hu
迷航	mi hag
迷茫	mi mag
迷藥	mi iauh
迷誤	mi gu
迷走神經	mi zeu xn cig
迷路	mi lu
迷蹤羅漢拳	mi zug lue han kyan
迷迭香	mi dieh hiag
迷迷糊糊	mi mi hu hu
迷途	mi tu
迷途知返	mi tu j fan
迷醉	mi zui
迷陣	mi jn
迷離	mi li
迷離惝恍	mi li txag huag
迷離馬虎	mi li ma hu
迷霧	mi u
迷魂	mi hun
迷魂湯	mi hun tag
迷魂藥	mi hun iauh
迷魂陣	mi hun jn
迷魂香	mi hun hiag
迷鳥	mi niau
迸	bg>
迸流	bg liu
迸發	bg fah
迸發出	bg fah txu
迸裂	bg lieh
迹	zih>
迺	nai\
迻	i<
追	dui/
追	jui/
追上	jui xag
追亡逐北	jui uag juh beih
追光	jui cuag
追光燈	jui cuag dg
追剿	jui ciau
追劇	jui cyh
追加	jui cia
追加劑	jui cia zi
追問	jui un
追回	jui hui
追夢	jui mg
追奔逐北	jui bn juh beih
追客	jui keh
追封	jui fg
追尊	jui zun
追尋	jui sym
追尋現代中國	jui sym hian dai jug cueh
追尾	jui ui
追念	jui niam
追思	jui s
追思會	jui s hui
追悔	jui hui
追悔莫及	jui hui mueh cih
追悼	jui dau
追悼文	jui dau un
追悼會	jui dau hui
追想	jui siag
追憶	jui ih
追懷	jui huai
追打	jui da
追捕	jui bu
追捧	jui pg
追授	jui xeu
追擊	jui cih
追敘	jui sy
追新	jui sin
追星	jui sig
追星族	jui sig zuh
追本溯源	jui bn su gyan
追本窮源	jui bn kyg gyan
追查	jui txa
追根	jui cn
追根問底	jui cn un di
追根尋底	jui cn sym di
追根求源	jui cn kiu gyan
追根溯源	jui cn su gyan
追根究底	jui cn ciu di
追根究底兒	jui cn ciu di r
追殲	jui ziam
追殺	jui xa
追比	jui bi
追求	jui kiu
追溯	jui su
追究	jui ciu
追索	jui sueh
追緝	jui zih
追繳	jui ciau
追肥	jui fei
追薦	jui zian
追補	jui bu
追討	jui tau
追記	jui ci
追訴	jui su
追訴時效	jui su x hiau
追詢	jui syn
追認	jui rn
追責	jui zeh
追購	jui ceu
追贈	jui zg
追贓	jui zag
追趕	jui can
追蹤	jui zug
追蹤報導	jui zug bau dau
追蹤號碼	jui zug hau ma
追蹤調查	jui zug diau txa
追躡	jui nieh
追述	jui xuh
追逐	jui juh
追逐賽	jui juh sai
追逼	jui bih
追還	jui huan
追隨	jui sui
追隨者	jui sui je
追風逐電	jui fg juh dian
追龍	jui lug
迾	lieh>
迿	hyn>
迿	txug\
退	tui>
退下	tui hia
退下金	tui hia cim
退件	tui cian
退任	tui rm
退伍	tui gu
退伍軍人	tui gu cyn rn
退伍軍人節	tui gu cyn rn zieh
退休	tui hiu
退休金	tui hiu cim
退休金雙軌制	tui hiu cim xuag cui j
退位	tui ui
退保	tui bau
退冰	tui big
退出	tui txu
退出運行	tui txu yn hig
退化	tui hua
退卻	tui kyeh
退回	tui hui
退坡	tui pue
退場	tui txag
退婚	tui hun
退學	tui hyeh
退守	tui xeu
退居二線	tui cy er sian
退市	tui x
退席	tui sih
退庭	tui tig
退役	tui ih
退後	tui heu
退思園	tui s yan
退房	tui fag
退換	tui huan
退換貨	tui huan hue
退散	tui san
退格鍵	tui ceh cian
退款	tui kuan
退步	tui bu
退水	tui xui
退潮	tui txau
退火	tui hue
退熱	tui reh
退燒	tui xau
退燒藥	tui xau iauh
退片	tui pian
退票	tui piau
退租	tui zu
退稅	tui xui
退縮	tui sueh
退繳	tui ciau
退群	tui kyn
退而求其次	tui er kiu ki ts
退耕還林	tui cg huan lim
退色	tui seh
退落	tui lueh
退行	tui hig
退行性	tui hig sig
退訂	tui dig
退讓	tui rag
退貨	tui hue
退賽	tui sai
退路	tui lu
退選	tui syan
退避	tui bi
退避三舍	tui bi sam xe
退還	tui huan
退錢	tui tsian
退關	tui cuan
退院	tui yan
退隱	tui in
退黨	tui dag
送	sug>
送上太空	sug xag tai kug
送上軌道	sug xag cui dau
送中	sug jug
送交	sug ciau
送人	sug rn
送信	sug sin
送別	sug bie
送去	sug ky
送命	sug mig
送客	sug keh
送往迎來	sug uag gig lai
送服	sug fuh
送死	sug s
送殯	sug bin
送氣	sug ki
送灶	sug zau
送禮	sug li
送禮會	sug li hui
送秋波	sug tsiu bue
送終	sug jug
送給	sug ceih
送股	sug cu
送舊迎新	sug ciu gig sin
送葬	sug zag
送行	sug hig
送貨	sug hue
送貨到家	sug hue dau cia
送走	sug zeu
送返	sug fan
送達	sug dah
送還	sug huan
送醫	sug i
送養	sug iag
送餐	sug tsan
适	kueh>
适	xh>
逃	tau<
逃不出	tau bu txu
逃之夭夭	tau j iau iau
逃亡	tau uag
逃亡者	tau uag je
逃債	tau jai
逃兵	tau big
逃北者	tau beih je
逃命	tau mig
逃單	tau dan
逃奔	tau bn
逃婚	tau hun
逃學	tau hyeh
逃席	tau sih
逃廢	tau fei
逃往	tau uag
逃港	tau cag
逃漏	tau leu
逃災避難	tau zai bi nan
逃犯	tau fam
逃獄	tau gyh
逃生	tau xg
逃票	tau piau
逃祿	tau lu
逃稅	tau xui
逃稅天堂	tau xui tian tag
逃竄	tau tsuan
逃竄無蹤	tau tsuan u zug
逃脫	tau tueh
逃荒	tau huag
逃課	tau ke
逃走	tau zeu
逃跑	tau pau
逃逸	tau ih
逃逸速度	tau ih suh du
逃遁	tau dun
逃過一劫	tau cue ih cieh
逃避	tau bi
逃避責任	tau bi zeh rm
逃離	tau li
逃難	tau nan
逄	pag<
逅	heu>
逆	nih>
逆來順受	nih lai xun xeu
逆倫	nih lun
逆光	nih cuag
逆勢	nih x
逆反	nih fan
逆反心理	nih fan sim li
逆反應	nih fan ig
逆向	nih hiag
逆商	nih xag
逆喻	nih y
逆回音	nih hui im
逆境	nih cig
逆天	nih tian
逆夷	nih i
逆子	nih z
逆定理	nih dig li
逆差	nih txa
逆序	nih sy
逆心	nih sim
逆戟鯨	nih cih cig
逆料	nih liau
逆斜	nih hie
逆斷層	nih duan tsg
逆旅	nih ly
逆映射	nih ig xe
逆時針	nih x jm
逆水	nih xui
逆水行舟	nih xui hig jeu
逆流	nih liu
逆流溯源	nih liu su gyan
逆流而上	nih liu er xag
逆滲透	nih xm teu
逆火	nih hue
逆生長	nih xg jag
逆產	nih txan
逆耳	nih er
逆耳之言	nih er j gian
逆臣	nih txn
逆行	nih hig
逆行倒施	nih hig dau x
逆襲	nih sih
逆變	nih bian
逆賊	nih zeih
逆轉	nih juan
逆轉錄病毒	nih juan lu big duh
逆轉錄酶	nih juan lu mei
逆運	nih yn
逆運算	nih yn suan
逆風	nih fg
逆齡	nih lig
逈	cyg\
逋	bu/
逋	run<
逋逃藪	bu tau seu
逌	iu/
逌	iu<
逍	siau/
逍遙	siau iau
逍遙法外	siau iau fah guai
逍遙自在	siau iau z zai
逍遙自得	siau iau z deh
透	teu>
透亮	teu liag
透信	teu sin
透光	teu cuag
透天厝	teu tian tsue
透射	teu xe
透平	teu pig
透平機	teu pig ci
透底	teu di
透徹	teu txeh
透抽	teu txeu
透支	teu j
透明	teu mig
透明度	teu mig du
透明硬紗	teu mig gig xa
透明程度	teu mig txg du
透明膠	teu mig ciau
透明質酸	teu mig j suan
透析	teu sih
透析機	teu sih ci
透氣	teu ki
透水	teu xui
透水性	teu xui sig
透漏	teu leu
透澈	teu txeh
透紅	teu hug
透視	teu x
透視圖	teu x tu
透視學	teu x hyeh
透視法	teu x fah
透視畫	teu x hua
透視畫法	teu x hua fah
透視裝	teu x juag
透通性	teu tug sig
透過	teu cue
透鏡	teu cig
透闢	teu pih
透露	teu lu
透頂	teu dig
透風	teu fg
逐	juh<
逐一	juh ih
逐個	juh ce
逐出	juh txu
逐夢	juh mg
逐字逐句	juh z juh cy
逐客令	juh keh lig
逐年	juh nian
逐日	juh rh
逐月	juh gyeh
逐次	juh ts
逐步	juh bu
逐水	juh xui
逐漸	juh ziam
逐行	juh hag
逐行	juh hig
逐行掃描	juh hag sau miau
逐走	juh zeu
逐退	juh tui
逐鹿	juh luh
逐鹿中原	juh luh jug gyan
逑	kiu<
逓	di>
途	tu<
途中	tu jug
途人	tu rn
途徑	tu cig
途經	tu cig
逕	cig>
逕向	cig hiag
逕庭	cig tig
逕流	cig liu
逕直	cig jh
逕自	cig z
逕賽	cig sai
逕跡	cig zih
逖	cih<
逖	tih>
逗	deu>
逗人	deu rn
逗人喜愛	deu rn hi ai
逗人發笑	deu rn fah hiau
逗哈哈	deu hah hah
逗哏	deu cn
逗嘴	deu zui
逗弄	deu nug
逗引	deu in
逗悶子	deu mn z
逗情	deu tsig
逗樂	deu le
逗比	deu bi
逗留	deu liu
逗笑	deu hiau
逗笑兒	deu hiau r
逗號	deu hau
逗趣	deu tsy
逗趣兒	deu tsy r
逗逼	deu bih
逗遛	deu liu
逗點	deu diam
這	je>
這	jei>
這一陣子	je ih jn z
這下	je hia
這下子	je hia z
這不	je bu
這些	je sie
這些個	je sie ce
這位	je ui
這個	je ce
這兒	je r
這咱	je zan
這嘎達	jei cah dah
這天	je tian
這就	je ziu
這就是說	je ziu x xue
這山望著那山高	je xan uag je na xan cau
這年頭	je nian teu
這幾天	je ci tian
這廝	je s
這早晚兒	je zau uan r
這時	je x
這會兒	je hui r
這末	je meh
這樣	je iag
這樣一來	je iag ih lai
這樣子	je iag z
這疙瘩	jei cah da
這種	je jug
這般	je ban
這裏	je li
這裡	je li
這還了得	je hai liau deh
這邊	je bian
這邊兒	je bian r
這陣兒	je jn r
這陣子	je jn z
這類	je lei
這麼	je me
這麼樣	je me iag
這麼著	je me je
這麽	je me
通	tug/
通	tug>
通乳	tug ru
通人	tug rn
通例	tug li
通便	tug bian
通俗	tug suh
通俗來講	tug suh lai ciag
通俗小說	tug suh siau xue
通俗易懂	tug suh i dug
通俗科學	tug suh ke hyeh
通信	tug sin
通信中心	tug sin jug sim
通信協定	tug sin hieh dig
通信地址	tug sin di j
通信密度	tug sin mih du
通信技術	tug sin ci xuh
通信服務	tug sin fuh u
通信網絡	tug sin uag lueh
通信線路	tug sin sian lu
通信衛星	tug sin ui sig
通信負載	tug sin fu zai
通信量	tug sin liag
通假	tug cia
通假字	tug cia z
通判	tug pan
通則	tug zeh
通力	tug lih
通力合作	tug lih heh zue
通勤	tug kin
通化	tug hua
通化市	tug hua x
通化縣	tug hua hian
通古斯	tug cu s
通史	tug x
通同	tug tug
通名	tug mig
通向	tug hiag
通告	tug cau
通商	tug xag
通商口岸	tug xag keu gan
通問	tug un
通城	tug txg
通城縣	tug txg hian
通報	tug bau
通夜	tug ie
通天徹地	tug tian txeh di
通太	tug tai
通姦	tug cian
通婚	tug hun
通學	tug hyeh
通宵	tug siau
通宵達旦	tug siau dah dan
通山	tug xan
通山縣	tug xan hian
通川區	tug txuan ky
通州	tug jeu
通州區	tug jeu ky
通布圖	tug bu tu
通常	tug txag
通往	tug uag
通徹	tug txeh
通心粉	tug sim fn
通心菜	tug sim tsai
通心麵	tug sim mian
通情達理	tug tsig dah li
通才	tug tsai
通才教育	tug tsai ciau yh
通敵	tug dih
通明	tug mig
通暢	tug txag
通曉	tug hiau
通書	tug xu
通榆	tug y
通榆縣	tug y hian
通權達變	tug kyan dah bian
通氣	tug ki
通氣孔	tug ki kug
通氣會	tug ki hui
通水	tug xui
通江	tug ciag
通江縣	tug ciag hian
通河	tug he
通河縣	tug he hian
通泰	tug tai
通海	tug hai
通海縣	tug hai hian
通渭	tug ui
通渭縣	tug ui hian
通牒	tug dieh
通用	tug yg
通用串行總線	tug yg txuan hig zug sian
通用人工智能	tug yg rn cug j ng
通用字符集	tug yg z fu zih
通用性	tug yg sig
通用拼音	tug yg pin im
通用汽車	tug yg ki txe
通用汽車公司	tug yg ki txe cug s
通用漢字標準交換碼	tug yg han z biau jun ciau huan ma
通用碼	tug yg ma
通用語	tug yg gy
通用電器	tug yg dian ki
通用電氣	tug yg dian ki
通病	tug big
通盤	tug pan
通知	tug j
通知單	tug j dan
通知書	tug j xu
通票	tug piau
通稱	tug txg
通稿	tug cau
通約	tug ye
通紅	tug hug
通經	tug cig
通緝	tug zih
通緝令	tug zih lig
通緝犯	tug zih fam
通縣	tug hian
通縮	tug sueh
通脫木	tug tueh muh
通脹	tug jag
通脹率	tug jag ly
通膨	tug pg
通航	tug hag
通草	tug tsau
通菜	tug tsai
通融	tug rug
通行	tug hig
通行無阻	tug hig u zu
通行稅	tug hig xui
通行證	tug hig jg
通觀	tug cuan
通訊	tug syn
通訊協定	tug syn hieh dig
通訊員	tug syn yan
通訊地址	tug syn di j
通訊社	tug syn xe
通訊系統	tug syn hi tug
通訊自動化	tug syn z dug hua
通訊處	tug syn txu
通訊行業	tug syn hag gieh
通訊衛星	tug syn ui sig
通訊通道	tug syn tug dau
通訊錄	tug syn lu
通訊院士	tug syn yan x
通許	tug hy
通許縣	tug hy hian
通話	tug hua
通論	tug lun
通證	tug jg
通識	tug x
通識培訓	tug x pei hyn
通識教育	tug x ciau yh
通識課程	tug x ke txg
通譯	tug ih
通讀	tug duh
通貨	tug hue
通貨緊縮	tug hue cin sueh
通貨膨脹	tug hue pg jag
通路	tug lu
通車	tug txe
通透	tug teu
通途	tug tu
通通	tug tug
通過	tug cue
通道	tug dau
通道侗族自治縣	tug dau dug zuh z j hian
通道縣	tug dau hian
通達	tug dah
通遼	tug liau
通遼市	tug liau x
通郵	tug iu
通配符	tug pei fu
通量	tug liag
通關	tug cuan
通關密語	tug cuan mih gy
通關文牒	tug cuan un dieh
通關節	tug cuan zieh
通電	tug dian
通電話	tug dian hua
通霄	tug siau
通霄鎮	tug siau jn
通靈	tug lig
通靈板	tug lig ban
通順	tug xun
通風	tug fg
通風口	tug fg keu
通風孔	tug fg kug
通風管	tug fg cuan
通體	tug ti
逛	cuag>
逛蕩	cuag dag
逛街	cuag cie
逛逛	cuag cuag
逜	diau/
逜	gu>
逝	x>
逝世	x x
逝去	x ky
逝者	x je
逞	tsag/
逞	txg\
逞其口舌	txg ki keu xeh
逞強	txg kiag
逞能	txg ng
速	suh>
速克達	suh keh dah
速凍	suh dug
速勝	suh xg
速可達	suh ke dah
速報	suh bau
速寫	suh sie
速射	suh xe
速度	suh du
速度滑冰	suh du huah big
速度計	suh du ci
速成	suh txg
速成班	suh txg ban
速戰速決	suh jan suh cyeh
速手排	suh xeu pai
速效	suh hiau
